,param,Tropical rain forest,Tropical seasonal forest,Subtropical desert,Temperate rain forest,Temperate seasonal forest,Woodland/shrubland,Temperate grassland,Boreal forest,Tundra
0,jmaxb0,3,6,13,3,2,2,1,3,2
1,kmax,1,1,7,12,5,10,8,4,4
2,leafcn,10,8,9,8,3,4,7,6,10
3,medlynintercept,6,3,5,13,10,7,10,9,6
4,fff,15,2,2,22,15,3,4,12,8
5,medlynslope,8,4,3,17,11,11,9,13,9
6,wc2wjb0,7,16,17,7,7,16,12,5,7
7,sucsat_sf,14,11,8,14,8,12,6,10,31
8,watsat_sf,32,12,6,16,13,13,16,18,13
9,theta_cj,18,18,19,15,6,9,25,15,18
10,d_max,28,10,4,27,21,20,3,19,11
11,frac_sat_soil_dsl_init,16,13,1,28,22,8,2,27,29
12,bsw_sf,20,19,12,18,20,18,14,16,25
13,hksat_sf,23,17,14,10,26,17,11,31,34
14,FUN_fracfixers,unranked,20,10,23,17,6,17,23,5
15,fd_pft,25,27,24,24,28,25,26,25,26
16,jmaxb1,unranked,unranked,21,2,1,1,15,1,3
17,maximum_leaf_wetted_fraction,5,21,29,19,12,21,20,20,unranked
18,upplim_destruct_metamorph,unranked,33,33,33,14,22,23,14,14
19,liq_canopy_storage_scalar,13,23,30,unranked,24,19,31,17,30
20,fsr_pft,19,26,25,unranked,29,24,27,24,27
21,tpu25ratio,unranked,unranked,unranked,1,4,5,13,2,1
22,rf_s2s3_bgc,45,42,38,40,42,39,39,34,37
23,zsno,39,unranked,32,34,23,31,19,40,42
24,tau_s3,46,43,40,42,43,40,41,36,38
25,lmrha,unranked,unranked,unranked,5,9,15,18,8,17
26,baseflow_scalar,17,31,28,21,32,26,unranked,28,unranked
27,r_mort,40,36,unranked,36,37,35,36,32,35
28,q10_mr,11,24,11,41,38,unranked,unranked,37,39
29,tau_s2,43,41,37,38,40,36,38,unranked,36
30,wind_snowcompact_fact,unranked,34,31,30,35,33,34,unranked,40
31,accum_factor,unranked,35,34,32,36,34,35,unranked,32
32,e_ice,unranked,unranked,unranked,31,25,30,28,21,23
33,dleaf,29,28,18,unranked,unranked,unranked,21,38,41
34,lmr_intercept_atkin,9,9,15,unranked,unranked,23,24,unranked,unranked
35,maxpsi_hr,41,39,16,unranked,unranked,37,40,33,unranked
36,slopebeta,unranked,unranked,unranked,unranked,30,28,29,29,12
37,rf_l2s1_bgc,44,40,36,39,41,unranked,37,unranked,unranked
38,slopemax,unranked,unranked,unranked,unranked,31,29,30,30,22
39,tpuha,unranked,unranked,unranked,4,18,unranked,unranked,7,16
40,jmaxha,unranked,unranked,unranked,6,16,unranked,unranked,11,15
41,cv,30,29,27,unranked,33,unranked,32,unranked,unranked
42,krmax,21,14,26,unranked,unranked,unranked,5,unranked,unranked
43,rf_l3s2_bgc,42,38,35,37,39,unranked,unranked,unranked,unranked
44,minpsi_hr,unranked,37,39,unranked,unranked,38,42,35,unranked
45,KCN,49,22,unranked,unranked,27,unranked,unranked,unranked,19
46,om_frac_sf,31,unranked,unranked,29,unranked,unranked,unranked,39,21
47,zetamaxstable,unranked,unranked,44,35,unranked,unranked,22,unranked,24
48,psi50,2,5,unranked,25,unranked,unranked,unranked,unranked,unranked
49,lmrhd,unranked,unranked,unranked,9,19,14,unranked,unranked,unranked
50,leaf_long,12,15,unranked,43,unranked,unranked,unranked,unranked,unranked
51,n_baseflow,24,30,unranked,20,unranked,unranked,unranked,unranked,unranked
52,prh30,unranked,unranked,unranked,26,unranked,unranked,unranked,26,28
53,csoilc,22,32,unranked,unranked,34,unranked,unranked,unranked,unranked
54,nstem,4,7,unranked,unranked,unranked,unranked,unranked,unranked,unranked
55,vcmaxha,unranked,unranked,unranked,11,unranked,unranked,unranked,22,unranked
56,kcha,unranked,25,23,unranked,unranked,unranked,unranked,unranked,unranked
57,pc,unranked,unranked,unranked,unranked,unranked,27,unranked,unranked,33
58,snw_rds_refrz,unranked,unranked,unranked,unranked,unranked,32,33,unranked,unranked
59,kn_nonmyc,48,unranked,unranked,unranked,unranked,unranked,unranked,unranked,20
60,a_exp,unranked,unranked,42,unranked,unranked,unranked,43,unranked,unranked
61,tau_l2_l3,unranked,unranked,20,unranked,unranked,unranked,unranked,unranked,unranked
62,vcmaxhd,unranked,unranked,22,unranked,unranked,unranked,unranked,unranked,unranked
63,rh_hgh,26,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
64,non_boreal_peatfire_c,27,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
65,freelivfix_intercept,33,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
66,freelivfix_slope_wet,34,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
67,froot_leaf,35,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
68,frootcn,36,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
69,fun_cn_flex_a,37,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
70,fun_cn_flex_b,38,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
71,a_coef,unranked,unranked,41,unranked,unranked,unranked,unranked,unranked,unranked
72,zlnd,unranked,unranked,43,unranked,unranked,unranked,unranked,unranked,unranked
73,xl,unranked,44,unranked,unranked,unranked,unranked,unranked,unranked,unranked
74,slatop,47,unranked,unranked,unranked,unranked,unranked,unranked,unranked,unranked
